Min,=min(a2:a1001),Max,=max(a2:a1001)
0
10
2
0
8
0
0
5
0
0
6
0
0
2
0
0
4
0
0
3
0
0
4
0
0
4
0
0
2
0
0
3
0
0
2
0
0
3
0
0
4
0
0
5
0
0
4
0
0
5
0
0
5
0
0
2
0
0
3
0
0
3
0
0
5
0
0
6
1
0
4
0
2
6
1
3
7
2
3
7
2
2
6
1
0
4
0
0
5
0
0
5
0
0
6
1
1
8
1
0
6
0
0
4
0
0
5
0
0
6
1
0
7
2
1
7
2
1
7
2
7
9
3
6
8
2
4
8
3
2
6
1
0
7
4
0
4
1
0
5
2
0
5
2
0
7
1
0
9
3
0
7
4
0
8
5
0
5
4
0
6
5
1
8
5
2
9
6
1
6
4
2
7
5
4
9
7
3
8
6
4
10
5
2
8
3
3
9
4
2
8
3
1
7
2
2
8
3
1
7
2
0
6
1
0
8
5
0
7
4
0
7
4
0
6
3
0
5
4
0
6
5
1
8
5
1
8
5
0
7
4
0
7
4
1
8
5
1
8
5
1
8
5
1
8
5
1
8
5
2
9
6
6
10
5
6
10
5
4
10
5
1
7
2
5
8
6
5
8
6
3
8
6
2
7
5
4
10
5
2
8
3
1
8
3
2
9
4
3
8
7
2
7
6
2
7
6
3
8
7
4
9
7
4
9
7
4
7
5
6
9
7
3
8
6
4
9
7
7
10
8
5
8
6
7
11
6
6
10
5
7
11
6
7
11
6
5
10
8
5
10
8
4
9
7
4
9
7
5
7
7
8
10
10
6
9
7
7
10
8
7
11
6
8
12
7
3
8
6
5
10
8
4
9
7
6
11
9
6
11
9
6
11
9
6
10
5
8
12
7
9
12
10
9
12
10
5
8
6
7
10
8
7
10
8
8
11
9
11
12
10
10
11
9
11
12
10
10
11
9
5
10
8
6
11
9
7
12
10
6
11
9
11
12
10
11
12
10
11
12
10
12
13
11
13
14
10
13
14
10
11
12
10
12
13
11
12
13
11
10
11
9
10
13
11
9
12
10
7
13
8
7
13
8
7
13
8
7
13
8
7
13
8
7
13
8
6
11
9
6
11
9
6
12
7
7
13
8
6
11
9
7
12
10
6
13
10
6
13
10
7
12
10
8
13
11
8
13
11
8
13
11
11
14
12
10
13
11
7
13
12
6
12
11
9
14
13
9
14
13
7
12
10
7
12
10
8
13
11
10
15
13
7
12
11
9
14
13
9
14
13
8
13
12
9
14
12
9
14
12
8
13
11
9
14
12
10
15
13
10
15
13
13
16
14
11
14
12
11
14
12
12
15
13
11
14
12
10
13
11
10
13
11
10
13
11
11
14
12
10
13
11
11
14
12
11
14
12
12
15
13
10
13
11
10
15
13
10
15
13
9
14
12
11
16
14
14
15
11
14
15
11
15
16
12
13
14
10
16
14
13
16
14
13
14
15
13
15
16
14
15
16
12
14
15
11
12
16
11
12
16
11
13
17
12
13
17
12
13
17
12
13
17
12
13
17
12
13
17
12
14
18
12
13
17
11
16
17
13
16
17
13
16
17
13
17
18
14
13
16
14
15
18
16
14
18
13
12
16
11
15
18
16
13
16
14
15
18
16
14
17
15
13
16
14
14
17
15
14
18
13
13
17
12
15
19
14
14
18
13
14
18
13
17
21
16
17
18
14
18
19
15
19
20
16
18
19
15
20
19
15
19
18
14
20
19
15
19
18
14
15
19
14
16
20
15
16
20
15
17
21
16
16
20
14
18
22
16
20
22
16
18
20
14
20
23
14
21
24
15
19
24
15
19
24
15
19
25
14
19
25
14
25
29
17
30
34
22
44
56
36
54
66
46
55
68
46
58
71
49
66
88
60
81
103
75
85
108
80
90
113
85
84
116
89
82
114
87
83
115
88
83
115
88
80
109
83
87
116
90
87
117
88
85
115
86
85
117
88
78
110
81
83
115
86
83
115
86
86
116
87
88
118
89
85
114
88
84
113
87
85
117
88
80
112
83
84
118
88
83
117
87
82
114
85
84
116
87
82
114
85
85
117
88
90
120
91
88
118
89
88
118
89
86
116
87
83
112
86
89
118
92
86
115
89
88
117
91
90
120
91
84
114
85
88
118
89
88
118
89
84
116
87
88
120
91
85
119
89
82
116
86
88
120
93
81
113
86
88
120
91
88
120
91
85
117
88
86
118
89
82
114
87
84
116
89
85
117
88
88
